step,walltime,_timestamp,train/rep_ent
11040,2025-05-08 08:53:14.815202475,1746694394.8152025,52.99253508352464
18496,2025-05-08 08:55:24.519916057,1746694524.519916,33.960570893062545
25344,2025-05-08 08:57:17.165134668,1746694637.1651347,31.54957551822484
32672,2025-05-08 08:59:19.287846088,1746694759.287846,30.6983554123791
39872,2025-05-08 09:01:25.668124914,1746694885.668125,30.166363253063626
46688,2025-05-08 09:03:16.235276937,1746694996.235277,29.871076091354443
54112,2025-05-08 09:05:21.886284828,1746695121.8862848,29.609240991288218
61088,2025-05-08 09:07:22.533917188,1746695242.5339172,29.428606949814963
68128,2025-05-08 09:09:20.314417601,1746695360.3144176,29.301363506100394
75328,2025-05-08 09:11:18.406467438,1746695478.4064674,29.238773914972942
82656,2025-05-08 09:13:20.728505611,1746695600.7285056,29.199623848152992
89856,2025-05-08 09:15:17.489231348,1746695717.4892313,29.21369401931763
97248,2025-05-08 09:17:29.633993626,1746695849.6339936,29.236100173099732
103936,2025-05-08 09:19:18.022055864,1746695958.0220559,29.303206268109772
111296,2025-05-08 09:21:25.282309771,1746696085.2823098,29.450269789281098
118272,2025-05-08 09:23:21.941403389,1746696201.9414034,29.588699067404512
125472,2025-05-08 09:25:18.558314323,1746696318.5583143,29.72735490904914
132896,2025-05-08 09:27:26.266873360,1746696446.2668734,29.880295722649016
139840,2025-05-08 09:29:19.157450676,1746696559.1574507,30.05977614024817
147232,2025-05-08 09:31:27.624482632,1746696687.6244826,30.23626798262328
154112,2025-05-08 09:33:19.468652487,1746696799.4686525,30.453683592552363
161536,2025-05-08 09:35:36.082275152,1746696936.0822752,30.71343333351201
167840,2025-05-08 09:37:21.281805038,1746697041.281805,30.954232040395592
175200,2025-05-08 09:39:20.604915857,1746697160.6049159,31.221160366224208
182592,2025-05-08 09:41:27.146132946,1746697287.146133,31.518072116942633
189600,2025-05-08 09:43:21.007849932,1746697401.00785,31.788004103316563
196992,2025-05-08 09:45:27.875180721,1746697527.8751807,32.10480901379606
203968,2025-05-08 09:47:22.604894161,1746697642.6048942,32.3461352860162
211296,2025-05-08 09:49:24.854585171,1746697764.8545852,32.61698649752088
218432,2025-05-08 09:51:26.515920877,1746697886.5159209,32.8850247015333
225568,2025-05-08 09:53:25.670805454,1746698005.6708055,33.095198806625845
232768,2025-05-08 09:55:22.428510904,1746698122.428511,33.350906460020276
240192,2025-05-08 09:57:25.452435493,1746698245.4524355,33.63499067569601
247424,2025-05-08 09:59:26.165159941,1746698366.16516,33.87003794919073
254624,2025-05-08 10:01:24.120095491,1746698484.1200955,34.09043606334262
261952,2025-05-08 10:03:26.771742582,1746698606.7717426,34.317393822440934
269152,2025-05-08 10:05:23.836585999,1746698723.836586,34.56975354512532
276480,2025-05-08 10:07:33.210857868,1746698853.2108579,34.75799191154247
283328,2025-05-08 10:09:24.301791191,1746698964.3017912,34.98883629179446
290752,2025-05-08 10:11:31.211064816,1746699091.2110648,35.181243799883745
297760,2025-05-08 10:13:24.965611696,1746699204.9656117,35.44694082486575
305184,2025-05-08 10:15:35.973476648,1746699335.9734766,35.618472843334594
311936,2025-05-08 10:17:27.152903080,1746699447.152903,35.80527008427263
319264,2025-05-08 10:19:25.872934580,1746699565.8729346,36.01619137634877
326592,2025-05-08 10:21:51.394050121,1746699711.3940501,36.20130055856497
332448,2025-05-08 10:23:26.357064962,1746699806.357065,36.349031591675974
339872,2025-05-08 10:25:36.821751118,1746699936.821751,36.57596362048182
346656,2025-05-08 10:27:32.782682896,1746700052.782683,36.73079944331691
353728,2025-05-08 10:29:30.752668619,1746700170.7526686,36.89622920239133
360928,2025-05-08 10:31:28.642021418,1746700288.6420214,37.087918023003475
368288,2025-05-08 10:33:27.953658104,1746700407.953658,37.26115269453629
375680,2025-05-08 10:35:33.375169992,1746700533.37517,37.43917601242726
382656,2025-05-08 10:37:29.172171116,1746700649.172171,37.63397545770768
390016,2025-05-08 10:39:31.859255314,1746700771.8592553,37.781093827537866
397216,2025-05-08 10:41:29.620758533,1746700889.6207585,37.97707130432129
404544,2025-05-08 10:43:31.980406761,1746701011.9804068,38.11802865115836
411744,2025-05-08 10:45:28.789913177,1746701128.7899132,38.27272415373061
419136,2025-05-08 10:47:37.662892103,1746701257.662892,38.513005281423595
425984,2025-05-08 10:49:28.951423883,1746701368.951424,38.66042097038198
433312,2025-05-08 10:51:37.375135183,1746701497.3751352,38.80999847478741
440192,2025-05-08 10:53:29.445631504,1746701609.4456315,39.036564139432684
447616,2025-05-08 10:55:29.875992060,1746701729.875992,39.09792416054627
455040,2025-05-08 10:57:36.396228790,1746701856.3962288,39.311639991299856
462080,2025-05-08 10:59:30.556415558,1746701970.5564156,39.41194899515672
469472,2025-05-08 11:01:39.286769152,1746702099.2867692,39.58097606303888
476352,2025-05-08 11:03:30.912544966,1746702210.912545,39.710130188076995
483776,2025-05-08 11:05:37.837658882,1746702337.837659,39.87529783413328
490720,2025-05-08 11:07:32.807611942,1746702452.807612,40.03859391190489
498080,2025-05-08 11:09:35.553162575,1746702575.5531626,40.10923796529355
